secs,km,alt
431,2.99691,473.067
432,3.00442,472.6
433,3.01193,472.333
434,3.01945,472.067
435,3.02696,471.8
436,3.03295,471.1
437,3.03895,470.4
438,3.04531,469.5
439,3.05168,468.6
440,3.05808,468
441,3.06449,467.4
442,3.07089,466.8
443,3.08037,465.8
444,3.08984,464.8
445,3.09649,464.3
446,3.10315,463.8
447,3.10981,463.3
448,3.11646,462.8
449,3.12245,462.133
450,3.12843,461.467
451,3.13442,460.8
452,3.14585,459
453,3.15257,458.4
454,3.15929,457.8
455,3.16601,457.2
456,3.17205,456.667
457,3.17809,456.133
458,3.18634,454.2
459,3.19311,453.8
460,3.19987,453.4
461,3.20664,453
462,3.21556,452.2
463,3.22074,451.8
464,3.22592,451.4
465,3.23435,451.2
466,3.24278,451
467,3.24623,450.8
468,3.25405,450.7
469,3.26187,450.6
470,3.2664,450.8
471,3.27361,450.9
472,3.28082,451
473,3.28748,451.067
474,3.29413,451.133
475,3.30641,451.6
476,3.31313,452.2
477,3.31815,452.5
478,3.32661,453.4
479,3.33162,453.8
480,3.33664,454.2
481,3.34289,454.6
482,3.34914,455
483,3.36165,455.8
484,3.3679,456.3
485,3.37415,456.8
486,3.37999,457.3
487,3.38583,457.8
488,3.39246,458.133
489,3.3991,458.467
490,3.40573,458.8
491,3.4157,460
492,3.42069,460.7
493,3.42912,462.6
494,3.4372,463.4
495,3.44528,464.2
496,3.44977,464.9
497,3.45427,465.6
498,3.46611,467.2
499,3.47256,467.52
500,3.47901,467.84
501,3.48545,468.16
502,3.4919,468.48
503,3.49835,468.8
504,3.5044,469.15
505,3.51044,469.5
506,3.51649,469.85
507,3.52254,470.2
508,3.5303,470.733
509,3.53805,471.267
510,3.54581,471.8
511,3.55585,473
512,3.56203,473.5
513,3.5682,474
514,3.57394,474.5
515,3.57967,475
516,3.58713,475.333
517,3.5946,475.667
518,3.60206,476
519,3.60726,476.8
520,3.61659,477
521,3.62591,477.2
522,3.63117,477.333
523,3.63643,477.467
524,3.64169,477.6
525,3.64886,477.8
526,3.65603,478
527,3.66607,478.2
528,3.67248,478.2
529,3.67889,478.2
530,3.6877,478.2
531,3.69351,478.2
532,3.69932,478.2
533,3.70513,478.2
534,3.71094,478.2
535,3.71869,478.2
536,3.72643,478.2
537,3.73418,478.2
538,3.74339,478.2
539,3.74913,478.133
540,3.75486,478.067
541,3.7606,478
542,3.76893,477.9
543,3.77725,477.8
544,3.78265,477.733
545,3.78805,477.667
546,3.79345,477.6
547,3.80028,477.533
548,3.80711,477.467
549,3.8168,477.2
550,3.82254,477.1
551,3.82828,477
552,3.8392,476.8
553,3.84777,476.6
554,3.85257,476.4
555,3.8608,476.2
556,3.86526,476.1
557,3.86972,476
558,3.87662,475.6
559,3.88352,475.4
560,3.89037,475.267
561,3.89723,475.133
562,3.90408,475
563,3.91127,474.8
564,3.91847,474.6
565,3.9299,474.2
566,3.93454,473.9
567,3.93918,473.6
568,3.94953,473
569,3.95552,472.8
570,3.9615,472.6
571,3.96749,472.4
572,3.97592,472
573,3.98435,471.6
574,3.99097,471.44
575,3.99759,471.28
576,4.00422,471.12
577,4.01084,470.96
578,4.01746,470.8
579,4.02408,470.72
580,4.0307,470.64
581,4.03733,470.56
582,4.04395,470.48
583,4.05057,470.4
584,4.059,470
585,4.06744,469.6
586,4.07447,469.45
587,4.08149,469.3
588,4.08852,469.15
589,4.09554,469
590,4.10299,468.8
591,4.11045,468.6
592,4.1179,468.4
593,4.12352,467.8
594,4.13024,467.2
595,4.13847,466.6
596,4.14498,466.4
597,4.15149,466.2
598,4.15853,465.9
599,4.16556,465.6
600,4.17074,465.4
601,4.17831,464.8
602,4.18415,464.4
603,4.19272,464
604,4.19789,463.8
605,4.20307,463.6
606,4.2145,463.2
607,4.22012,462.8
608,4.229,462.6
609,4.23401,462.4
610,4.24247,461.8
611,4.24937,461.4
612,4.25502,461.3
613,4.26068,461.2
614,4.26633,461.1
615,4.27199,461
616,4.27898,460.92
617,4.28597,460.84
618,4.29295,460.76
619,4.29994,460.68
620,4.30693,460.6
621,4.31717,460.5
622,4.32741,460.4
623,4.33086,460
624,4.34015,459.6
625,4.34577,459.2
626,4.35131,458.8
627,4.36137,458
628,4.36857,457.4
629,4.37536,457.267
630,4.38215,457.133
631,4.38894,457
632,4.39573,456.8
633,4.40252,456.6
634,4.40931,456.4
635,4.41738,456
636,4.42276,455.867
637,4.42815,455.733
638,4.43353,455.6
639,4.4435,455.2
